Date,Currency Pair,Long Positions,Short Positions
2025-03-02,EUR/USD,59117,60680
2025-03-02,GBP/USD,98608,138725
2025-03-02,USD/JPY,79316,43584
2025-03-02,AUD/USD,118735,63814
2025-03-02,USD/CAD,72868,91935
2025-03-02,USD/CHF,117156,73264
2025-03-02,NZD/USD,143552,72760
2025-03-02,EUR/JPY,139939,77033
2025-03-02,GBP/JPY,112406,124203
2025-03-02,EUR/GBP,130662,92406
2025-03-09,EUR/USD,117197,60026
2025-03-09,GBP/USD,99919,73716
2025-03-09,USD/JPY,115630,111298
2025-03-09,AUD/USD,75508,96802
2025-03-09,USD/CAD,56324,101428
2025-03-09,USD/CHF,51520,42278
2025-03-09,NZD/USD,136502,104001
2025-03-09,EUR/JPY,68396,51812
2025-03-09,GBP/JPY,102398,67543
2025-03-09,EUR/GBP,54361,56417
2025-03-16,EUR/USD,103843,84634
2025-03-16,GBP/USD,138209,64079
2025-03-16,USD/JPY,147731,122490
2025-03-16,AUD/USD,91273,101072
2025-03-16,USD/CAD,86561,112911
2025-03-16,USD/CHF,53040,46689
2025-03-16,NZD/USD,132992,134956
2025-03-16,EUR/JPY,106593,55513
2025-03-16,GBP/JPY,133255,94710
2025-03-16,EUR/GBP,121637,46542
2025-03-23,EUR/USD,125748,84408
2025-03-23,GBP/USD,148913,115161
2025-03-23,USD/JPY,57928,75883
2025-03-23,AUD/USD,143264,51387
2025-03-23,USD/CAD,68410,72033
2025-03-23,USD/CHF,89066,57226
2025-03-23,NZD/USD,126895,137532
2025-03-23,EUR/JPY,71446,131522
2025-03-23,GBP/JPY,98128,64404
2025-03-23,EUR/GBP,72073,90624
2025-03-30,EUR/USD,136921,63747
2025-03-30,GBP/USD,59493,137779
2025-03-30,USD/JPY,111888,74115
2025-03-30,AUD/USD,103798,129164
2025-03-30,USD/CAD,144351,51484
2025-03-30,USD/CHF,133412,79808
2025-03-30,NZD/USD,63736,123987
2025-03-30,EUR/JPY,82612,93459
2025-03-30,GBP/JPY,56596,50829
2025-03-30,EUR/GBP,76884,84199
